"SKU","Balance","InOrder"

"16211","314","65"

"29470","77","27"

"96674","1975","100"

"18984","4","4"

"76275","12","0"

"14836","23","0"

"41443","23","5"

"15215","9","0"

"88212","13","1"

"88213","18","0"

"37014","161","36"

"43869","7","0"

"13164","13","0"

"93305","9","0"

"1276","3","0"

"1278","5","0"

"46924","44","16"

"29433","29","10"

"29434","22","4"

"41459","97","57"

"66773","56","2"

"83402","3","0"

"71077","49","31"

"18586","126","68"

"79908","4633","2675"

"88601","30","4"

"18982","87","44"

"98683","23","2"

"98684","41","8"

"98693","6","0"

"98694","3","0"

"98695","5","0"

"98696","6","1"

"9969","2","0"

"99690","4","1"

"98707","21","1"

"98708","5","2"

"99694","4","1"

"99695","40","6"

"99696","2","2"

"99698","2","0"

"99699","12","1"

"99700","3","0"

"98719","57","0"

"98720","22","0"

"98721","20","1"

"98722","51","0"

"98723","20","0"

"98729","34","1"

"98730","21","3"

"98733","4","1"

"98734","5","4"

"98735","5","1"

"98736","7","2"
"98737","1","1"

"98738","3","2"

"98739","30","4"

"98740","3","0"

"9974","7","0"

"99742","4","0"

"99746","6","1"

"99825","15","3"

"98831","45","0"

"98832","18","0"

"98833","18","0"

"99838","357","63"

"99846","288","18"

"99847","330","8"

"98858","100","3"

"98859","43","1"

"98860","110","3"

"98862","72","2"

"98863","74","0"

"98864","96","12"

"98866","22","0"

"98868","33","0"

"98869","23","0"

"98876","38","0"

"98877","48","5"

"98878","28","5"

"98879","19","0"

"98885","75","0"

"98886","56","0"

"98888","51","1"

"98889","73","5"

"98892","60","4"

"98893","19","0"

"98894","16","1"

"99889","5","1"

"99890","17","0"

"99893","100","5"

"99894","42","3"

"99896","55","2"

"99920","34","3"

"99921","5","1"

"99922","16","0"

"99923","52","0"

"99924","41","0"

"99925","23","2"

"99927","5","0"

"99928","8","2"

"99929","40","0"

"99930","15","0"

"99931","49","0"

"99932","13","0"

"9994","95","16"

"98992","3","1"

"98997","3","0"

"99000","12","0"
"99002","60","7"

"99003","51","0"

"99004","23","1"

"99005","23","0"

"99008","19","0"

"99010","18","0"

"99011","21","0"

"99022","112","4"

"99024","11","0"

"99027","47","2"

"99028","51","1"

"99029","62","1"

"99030","135","1"

"99031","11","0"

"99032","14","0"

"99042","58","4"

"99046","11","0"

"99058","37","137"

"99066","1","0"

"99072","3","0"

"99073","7","2"

"99074","3","0"

"99075","6","0"

"99077","107","49"

"99078","3","3"

"99079","18","0"

"99081","181","65"

"99083","19","4"

"99084","9","1"

"99108","2","0"

"99109","1","0"

"99110","2","0"

"99111","2","0"

"99112","3","0"

"99113","2","0"

"99115","2","0"

"99116","2","0"

"99117","2","0"

"99118","2","0"

"99119","3","0"

"99120","2","0"

"99124","6","0"

"99125","7","0"

"99138","248","16"

"99142","2","0"

"99145","348","7"

"99149","207","16"

"99166","53","11"

"99167","8","3"

"99169","83","1"

"99186","287","5"

"99188","135","0"

"99190","75","2"

"99191","116","5"

"99192","40","0"
"99193","85","0"

"99194","75","6"

"99197","103","7"

"99199","5","0"

"99200","48","0"

"99201","82","1"

"99202","47","4"

"99203","33","0"

"99204","247","3"

"99206","370","33"

"99211","84","3"

"99212","104","3"

"99213","263","8"

"99220","65","14"

"99230","39","2"

"99231","21","0"

"99232","18","1"

"99233","63","0"

"99234","12","0"

"99235","46","2"

"99236","56","0"

"99237","15","1"

"99238","32","0"

"99239","15","0"

"99240","33","2"

"99243","15","4"

"99244","17","1"

"99245","2","1"

"99249","3","3"

"99250","13","2"

"99251","2","1"

"99252","22","3"

"99262","17","0"

"99304","452","24"

"99305","114","9"

"99306","21","0"

"99308","171","8"

"99309","158","8"

"99310","18","2"

"99311","51","2"

"99312","31","0"

"99313","3","0"

"99314","184","16"

"99315","267","19"

"99316","16","12"

"99317","145","6"

"99318","34","3"

"99319","57","3"

"99321","15","1"

"99328","193","38"

"99329","32","3"

"99333","23","7"

"99334","39","9"

"99337","40","6"

"99355","72","1"
"99356","32","0"

"99357","47","0"

"99359","37","4"

"99361","30","2"

"99362","57","0"

"99370","27","0"

"99373","28","1"

"99375","44","3"

"99377","15","0"

"99383","29","6"

"99388","30","0"

"99389","23","7"

"99390","16","0"

"99392","40","0"

"99393","21","2"

"99394","36","0"

"99396","56","0"

"99397","16","0"

"99410","3","0"

"99422","43","9"

"99432","1","0"

"99434","16","0"

"96754","1","0"

"96755","2","0"

"99436","4","0"

"96757","10","0"

"99437","8","0"

"99439","4","2"

"96760","2","0"

"99443","3","0"

"96766","5","0"

"99447","5","1"

"96767","4","3"

"99448","9","1"

"96768","8","0"

"96773","9","2"

"99454","33","12"

"96777","0","0"

"96778","6","1"

"96779","25","2"

"96792","4","0"

"9681","10","0"

"96819","15","1"

"9682","2","0"

"96820","3","0"

"96821","19","1"

"96822","14","0"

"96826","9","0"

"96827","14","1"

"96828","15","1"

"96829","2","0"

"9683","2","0"

"96831","5","0"

"96832","5","1"

"96834","2","0"
"96837","3","0"

"96840","3","0"

"96842","6","0"

"96843","1","0"

"96844","8","0"

"96845","4","0"

"96846","12","0"

"96849","2","0"

"99556","15","0"

"99557","9","0"

"99565","136","1"

"99566","76","5"

"99567","125","17"

"99568","6","0"

"99569","13","0"

"99570","40","0"

"99571","23","0"

"99572","24","1"

"99574","16","0"

"99575","9","0"

"99576","3","0"

"99577","1","0"

"99578","4","0"

"99579","27","0"

"99580","110","2"

"99581","129","3"

"99582","4","6"

"99591","13","0"

"99592","9","2"

"99598","13","1"

"99599","255","2"

"99600","3","0"

"99603","8","0"

"99607","11","0"

"99608","13","0"

"96942","2","0"

"96943","6","0"

"96944","3","0"

"96945","7","0"

"96946","2","0"

"96948","4","0"

"96949","3","0"

"96950","6","0"

"96951","8","0"

"96959","2","0"

"96960","6","0"

"96961","1","0"

"96962","2","0"

"96963","3","0"

"96965","6","1"

"96966","3","0"

"96967","9","0"

"96969","2","0"

"96972","3","0"

"96974","1","0"
"96977","50","2"

"99665","13","0"

"96979","3","0"

"99667","22","1"

"96983","6","0"

"96984","5","0"

"96985","8","0"

"96987","3","0"

"99686","9","1"

"99687","13","0"

"97033","52","1"

"97035","27","0"

"97036","54","5"

"97037","34","8"

"97038","2","2"

"97039","48","0"

"97041","25","1"

"97042","14","0"

"97049","9","0"

"97059","10","0"

"97060","55","1"

"97064","5","0"

"97067","12","5"

"97089","25","0"

"97110","7","0"

"97112","60","27"

"97113","11","10"

"97122","8","0"

"97135","15","1"

"97159","172","8"

"97160","139","7"

"97161","118","2"

"97162","36","1"

"97163","41","3"

"97164","15","0"

"97165","13","0"

"97166","20","0"

"97167","19","0"

"97168","47","2"

"97169","157","1"

"97202","3","3"

